title,content,images,description,video link,specification_heading,specification_key,specification_value,Url
,Remote junction box can be mounted up to 15 ft away,https://www.ricelake.com/media/g0ulxgbk/_portals_0_products_72a8460de6e845c8a123e0b9c2e81811-orig.jpg?mode=max&width=500&rnd=132494932064230000,"The scale base is built from solid, stainless steel plates. The absence of tubes or channels means peace of mind when cleaning the scale. Continuous welds on the solid base plates follow strict sanitary design principles.",,,Threaded Eyebolt:,Two 1/2-20 NF threaded eyebolt holes for lifting scale into pit frame,
,1/4 in top plate,https://www.ricelake.com/media/2m0n41fl/_portals_0_products_5925f9d5daa2475bb58b02d39c006ea0-orig.jpg?mode=max&width=500&rnd=132494932185870000,Extreme Access,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Four adjustable stainless steel SUREFOOT™ support feet,https://www.ricelake.com/media/ofgnkclv/_portals_0_products_c5d9b94bc4da488abbb5315244f1f861-orig.jpg?mode=max&width=500&rnd=132494932320530000,"The top plate opens 75 degrees, allowing the entire scale interior to be washed and inspected.",,,Approvals:,cFMus NSF,
,Top plate opens 75 degrees,,Extreme Strength,,,,,
,Tool-less top plate lock downs,,"An allover 304 stainless steel construction provides rugged strength in the toughest food, pharmaceutical or chemical environments. A choice of a smooth top plate deck or a diamond treadplate deck (for extra traction) allows further application accommodation.",,RoughDeck QC-X Dimensions/Ramp Angle of Incline,,,
,Top plate available with a smooth deck or diamond treadplate,,,,,,,
,Two 1/2-20 NF threaded eyebolt holes for lifting scale into pit frame,,,,,,,
"RoughDeck® Rough-n-Ready System, Floor Scale and 380 Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 380 indicator",https://www.ricelake.com/media/nfsheg0w/rl-roughdeck-floor-scale-and-380-indicator.png?mode=max&width=500&rnd=133283771777930000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 380 Synergy Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-380-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/4ocgkmkr/1_us_380_front.png?mode=max&width=500&rnd=132802691545270000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,,This package pairs the 380 Synergy Series digital weight indicator with the RoughDeck HP. Rice Lake’s 380 has an LCD display with five tactile buttons and a keyed tare. It is battery-powered and provides up to 100 hours of continuous use.,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,,,,,Warranty (limited):,Weldment: Five-years Load cells: Two-years All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LCD display,,,,,Power:,Batteries: Four alkaline C-cell (not included) Optional: 115/230 VAC to 12 VDC adapter,
,Communication ports,,,,380 Indicator Specifications,Battery Life:,"45 hours, continuous use on alkaline batteries with four 350 ohm load cells, low backlight",
,Stainless steel enclosure,,,,,Communication Ports:,One full-duplex RS-232 One USB 2.0 (device),
,,,,,,Display:,"Six 1 in (25 mm) tall, LCD digits",
,,,,,,Annunciators:,"g, lb, t, tn, kg, oz, battery level, PT, LT, gross, zero, unstable, net",
,,,,,,Keys/Buttons:,5 tactile buttons,
,,,,,,Rating/Material:,"Enclosure: IP66, 304 stainless steel",
,,,,,,Approvals:,NTEP 21-051 Measurement Canada AM-6184 CE Marked cULus Listed,
,,,,,,,,
,,,,,,,,
"RoughDeck® Rough-n-Ready System, Floor Scale and 381 Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 381 indicator",https://www.ricelake.com/media/mxjbfasz/1_us_roughdeck_380.png?mode=max&width=500&rnd=133324565894030000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 381 Synergy Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-381-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/yrtpb3pm/rl-381-synergy-weight-indicator.jpg?mode=max&width=500&rnd=133263184700030000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,,"This package pairs the 381 Synergy Series digital weight indicator with the RoughDeck. The 381’s LCD weight display is clearly visible to operators, allowing the 381 Synergy to be mounted almost anywhere. The AA battery-operated model provides up to 40 hours of operation and has an IP54 rating. The Nickel Metal Hydride (NiMH) battery-operated model provides up to 80 hours of operation with an IP66 rating.",,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,,,,,Warranty (limited):,Weldment: five-years Load cells: two-years All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LCD display,,,,,Power:,Battery: AA or Nickel Metal Hydride (NiMH) 381-2D-AA Adapter: 115/230 VAC to 12 VDC 381-2D-NiMH Charger: 115/230 VAC,
,Communication ports,,,,381 Indicator Specifications,Battery Life:,"AA: 16 hours with 4 × 350 ohm load cells, low backlight NiMH: 19 hours with 4 × 350 ohm load cells, low backlight",
,ABS enclosure,,,,,Communication Ports:,One RS-232 (three-wire) One USB 2.0,
,Battery powered,,,,,Display:,"Six 1 in (25 mm) tall, LCD digits",
,,,,,,Annunciators:,"g, lb, t, tn, kg, oz, battery level, PT, LT, gross, zero, unstable, net",
,,,,,,Keys/Buttons:,5 tactile buttons,
,,,,,,Rating/Material:,"AA Battery: IP54, ABS NiMH Battery: IP66, ABS",
,,,,,,Approvals:,"NTEP 21-051 Class III/IIIL, 10,000 d Measurement Canada AM-6184",
,,,,,,,,
,,,,,,,,
"RoughDeck® Rough-n-Ready, Floor Scale System with 480/480 Plus Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 480/480 Plus indicator",https://www.ricelake.com/media/gt5hk11u/rl-roughdeck-floor-scale-and-480-480-plus-indicator.png?mode=max&width=500&rnd=133283772885730000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 480/482 Legend® Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-480-480-plus-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/hrqnxzee/1_lb_480plus_front.png?mode=max&width=500&rnd=132802687328800000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,https://www.ricelake.com/media/wk2mavbm/1_lb_480_front.png?mode=max&width=500&rnd=132802687364930000,"This package pairs the 480 Legend Series digital weight indicator with the RoughDeck. Rice Lake’s 480 has a 0.8-inch 6-digit LED display, NEMA Type 4X/IP66 stainless steel washdown enclosure and programmable ticket formats for gross, net, accumulator and setpoints.",,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,https://www.ricelake.com/media/qeyjs4mp/_portals_0_products_cbd9296a9559485bbfa2503d8d6831c6-orig.jpg?mode=max&width=500&rnd=132494147198970000,"This package can also pair the 482 Legend Series digital weight indicator with the CW-90B. Rice Lake’s 482 has a 0.8-inch 6-digit LCD backlit display and a NEMA Type 4X/IP66 stainless steel washdown enclosure, making it ideal for demanding workplaces. Advanced circuitry withstands electrical noise, power disturbances and transient spikes common to industrial applications.",,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LED display,,,,,Communication Ports:,"Com 1: RS-232 full duplex Com 2: RS-232 full duplex or 20 mA simplex, continuous Both ports 1200, 2400, 4800, 9600, 19200, 38400 baud seven or eight data bits, even, odd or no parity",
,Time and date battery backed,,,,480/480 Indicator Specifications,Display:,"LED display 0.8 in (20 mm), six-digit, seven-segment",
,Numeric keypad (480 Plus only),,,,,Annunciators:,"Gross, net, center of zero, standstill, lb, kg, tare, preset tare",
,Communication ports,,,,,Keys/Buttons:,"Flat membrane panel, embossed keys, tactile feel",
,,,,,,Rating/Material:,"Enclosure: NEMA Type 4X/IP66, heavy-gauge stainless steel",
,,,,,,Approvals:,"NTEP CC 12-123 Measurement Canada AM-5892C, CE Marked cULus Listed",
,,,,,,,,
,,,,,,,,
"RoughDeck® Rough-n-Ready System, Floor Scale and 482/482 Plus Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 482/482 Plus indicator",https://www.ricelake.com/media/jr2cs3me/rl-roughdeck-floor-scale-and-482-482-plus-indicator.png?mode=max&width=500&rnd=133283773483700000,Floor Scale System with the 482 Weight Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-482-482-plus-indicator/
,"Package is factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/livfzrim/1_lb_482plus_front.png?mode=max&width=500&rnd=132802683245530000,"The RoughDeck Rough-n-Ready System is a complete floor scale and indicator package. Match the durable design of our 4 x 4 ft RoughDeck floor scale with one of five quality Rice Lake indicators. Each scale and indicator arrives factory calibrated for quick setup. Calibrate and seal the scale for an NTEP Certified system. Mount the indicator remotely or use an optional floor stand. The RoughDeck Rough-n-Ready package is available in 5,000 or 10,000 lb capacities.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,https://www.ricelake.com/media/5pgpgeov/1_lb_482_front.png?mode=max&width=500&rnd=132802683287170000,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,https://www.ricelake.com/media/3chnzy1x/_portals_0_products_b4d4cf169789488fa100fabcdd17d0e6-orig.jpg?mode=max&width=500&rnd=132494147742800000,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,https://www.ricelake.com/media/ibhhpzq1/_portals_0_products_f2a777ada85346e4baf2d3661dadf3d7-orig.jpg?mode=max&width=500&rnd=132494147655800000,,,,Approvals:,"NTEP CC 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,LED display,,,,,Communication Ports:,"Com 1: RS-232 full duplex Com 2: RS-232 full duplex or 20 mA simplex, continuous Both ports 1200, 2400, 4800, 9600, 19200, 38400 baud seven or eight data bits, even, odd or no parity",
,Time and date battery backed,,,,482/482 Plus Indicator Specifications,Display:,"LCD backlit display, Transmissive/Transflective 0.8 in (20 mm), six-digit, seven-segment",
,Numeric keypad (482 Plus only),,,,,Annunciators:,"Gross, net, center of zero, standstill, lb, kg, tare, preset tare",
,Communication ports,,,,,Keys/Buttons:,"Flat membrane panel, embossed keys, tactile feel",
,,,,,,Rating/Material:,"Enclosure: NEMA Type 4X/IP66, heavy-gauge stainless steel",
,,,,,,Approvals:,"NTEP CC 12-123 Measurement Canada AM-5892C, Class III/IIIHD, 10,000d CE Marked cULus Listed",
,,,,,,,,
,,,,,,,,
"RoughDeck® Rough-n-Ready System, Floor Scale and 680 Indicator","Package includes: RoughDeck HP 4 ft × 4 ft × 3.5 in floor scale, 20 ft of hostile environment load cell cable, quick disconnect and 680 indicator",https://www.ricelake.com/media/5lnlu2zc/rl-roughdeck-floor-scale-and-680-indicator.png?mode=max&width=500&rnd=133283774383700000,Complete Floor Scale Package with RoughDeck® HP Floor Scale and 680 Synergy Series Indicator,,RoughDeck Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rough-n-ready-system-floor-scale-and-680-indicator/
,"Package factory-calibrated for 5,000 divisions",https://www.ricelake.com/media/mnsodmcb/1_lb_kg_680_frontview.png?mode=max&width=500&rnd=132802676739630000,Rice Lake’s RoughDeck HP floor scale has a heavy-duty industrial design and a structural steel channel frame. It has four NTEP-certified alloy steel shear beam load cells and a 20-foot SURVIVOR® EL147HE hostile environment load cell cable. The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck.,,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,Heavy-duty design with structural steel under support,,"This package pairs the 680 Synergy Series digital weight indicator with the RoughDeck. Rice Lake’s 680 has an LED display, battery-backed time and date, and a full numeric keypad with multiple communication ports. Constructed with durable 304 stainless steel and able to withstand harsh washdowns, the 680 maximizes process efficiency in virtually any environment or application.",,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Four NTEP certified alloy steel shear beam load cells,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Side-access JB4SS TuffSeal® junction box,,,,,Approvals:,"NTEP 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,"Bright seven-digit, seven-segment LED display",,,,,Communication Ports:,Two full-duplex RS-232 RS-485/RS-422 (two-wire or four-wire) Micro USB (device) Ethernet TCP/IP (10/100),
,Battery backed time and date,,,,680 Indicator Specifications,Display:,"Seven 0.8 in tall, seven-segment digits",
,Full numeric keypad,,,,,Annunciators:,Eight LED annunciators,
,Communication ports,,,,,Keys/Buttons:,"Flat membrane panel, tactile feel (18 buttons plus on/off)",
,,,,,,Rating/Material:,IP69K AISI 304 stainless steel,
,,,,,,Approvals:,"NTEP 19-021, Class III/IIIL, 10,000d Measurement Canada AM-6121C, Class III/IIIHD, 10,000d OIML R76/2006-A-NL1-19.56 cULus Listed CE Marked",
,,,,,,,,
,,,,,,,,
RoughDeck® HP Floor Scale,Heavy-duty industrial design,https://www.ricelake.com/media/bx3hywlt/1_us_hp_roughdeck.jpg?mode=max&width=500&rnd=133052407659070000,"The Toughest, Most Accurate Floor Scale Available",,RoughDeck HP Floor Scale Specifications,End Load Capacity:,"200% full scale at 1,000 lb 100% full scale at 2,000 lb, and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-hp-floor-scale/
,Structural steel channel frame,https://www.ricelake.com/media/5rfjq23e/1_roughdeck_underside_rgb.png?mode=max&width=500&rnd=132494239943430000,"The RoughDeck HP’s best-in-class features are enhanced to deliver more reliability and higher performance than ever before. Available in 1,000- to 10,000-pound capacities, the RoughDeck HP is the industry leader for precision weighing in Legal for Trade applications.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
,"Four NTEP Certified alloy steel, shear beam load cells",,"The RoughDeck HP’s NEMA Type 4X aluminum TuffSeal® junction box is protected from forks and industrial abuse by a six-inch structural steel channel frame and diamond treadplate safety deck. The junction box is also mounted as a handy slide-out tray that eases setup and service access. Cables include sturdy cord grips or a quick disconnect for added convenience. In addition, all load cell cables are enclosed in conduit, alleviating the danger of rough handling. Load cells are recessed within the channel for protection on all sides while maintaining easy access for leveling.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,20 ft SURVIVOR® EL147HE hostile environment load cell cable,,"All Rice Lake floor scales, unless specified otherwise, are built with lifting holes to assist our dealers during installation or at later service the scales.",,,Welding:,Stitch,
,Side-access junction box,,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Rugged diamond deck safety treadplate,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,4 adjustable stainless steel SUREFOOT™ support feet,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000d Measurement Canada AM-4827, Class III 5,000d",
,4 corner overload stops (Canadian versions only),,,,,,,
,Level bubble (Canadian versions only),,,,RoughDeck HP Floor Scale Dimensions,,,
RoughDeck® HP-H Heavy Capacity Floor Scale,Heavy-duty industrial design,https://www.ricelake.com/media/gxfkpfnv/_portals_0_products_a88419f837164ae6af55d7eedbf53e1e-orig.png?mode=max&width=500&rnd=132494270107370000,The Most Accurate Heavy-capacity Floor Scale Available,,RoughDeck HP-H Floor Scale Specifications,End Load Capacity:,"100% full scale at 20,000 lb 66% full scale at 30,000 lb",https://www.ricelake.com/products/roughdeck-hp-h-heavy-capacity-floor-scale/
,Structural steel channel frame,,"RoughDeck HP-H heavy-capacity floor scales deliver reliable performance for Legal for Trade applications with capacities ranging from 20,000 to 30,000 pounds.",,,Cable Length: ,20 ft (6.1 m) for connecting junction box to indicator,
,"Four NTEP Certified alloy steel, shear beam load cells",,"The RoughDeck HP-H has a NEMA Type 4 aluminum TuffSeal® junction box mounted on a slide-out tray to simplify setup and maintenance. The junction box is secured in a structural steel channel frame to help protect the electronics from harsh industrial environments. All load cells are also mounted within the steel channel with easy access to leveling, and load cell cables are enclosed in conduit to reduce the danger of rough handling.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,20 ft SURVIVOR® EL147HE hostile environment load cell cable,,,,,Welding:,Stitch,
,Side-access junction box,,,,,Threaded Eyebolt:,Hole (3/4-10 NC) located in center of deck for easy lifting,
,Rugged diamond safety treadplate deck,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Four adjustable mild steel SUREFOOT™ support feet,,,,,Approvals:,"NTEP CC 92-001, Class III, 5,000 d Measurement Canada AM-5284 (Only capacities greater than 10,000 kg)",
,,,,,,,,
,,,,,RoughDeck HP-H Floor Scale Dimensions,,,
RoughDeck® RP Rodent Protection Floor Scale,Heavy-duty industrial design,https://www.ricelake.com/media/axdfkzn5/_portals_0_products_9660a2cbdf884b13b9286d51b4ebd0a6-orig.png?mode=max&width=500&rnd=132491722485200000,Industrial Floor Scales with Added Protection,,RoughDeck RP Rodent Protection Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-rp-rodent-protection-floor-scale/
,Structural steel channel frame,https://www.ricelake.com/media/g0mowrna/_portals_0_products_fa2b939cdad64c42b03ea33e989d2f21-orig.png?mode=max&width=500&rnd=132491722382170000,"The RoughDeck RP rodent protection floor scale is built for durability and engineered with an industrial design and structural steel channel frame to prevent rodents from accessing cables. This industrial floor scale is Legal for Trade and has deck access for the NEMA Type 4X TuffSeal® junction box for easy access. The RoughDeck RP has a rugged diamond treadplate on the deck for safety, while adjustable stainless steel support feet simplify leveling.",,,Cable Length:,"20 ft (6.1 m) for connecting junction box to indicator Note: 1/2 in conduit fitting supplied, conduit for home run cable to be supplied by customer",
,"Four NTEP Certified alloy steel, shear beam load cells",,,,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,20 ft SURVIVOR® EL147HE hostile environment load cell cable with 1/2-inch conduit fitting (conduit for home run cable to be supplied by customer),,,,,Welding:,Stitch,
,Top-access junction box with additional top access cover for routing load cell cable into scale conduit,,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Rugged diamond deck safety treadplate,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000d",
,,,,,,,,
RoughDeck® SS Stainless Steel Floor Scale,Rugged non-corrosive design,https://www.ricelake.com/media/cmelewlu/_portals_0_products_03936e4c9e5b411490459c6daf7d77b8-orig.png?mode=max&width=500&rnd=132494321323530000,Stainless Steel Floor Scale,,RoughDeck SS Floor Scale Specifications,End Load Capacity:,"200% full scale at 1,000 lb 100% full scale at 2,000 lb and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-ss-stainless-steel-floor-scale/
,304 stainless steel construction,,"The RoughDeck SS floor scale is designed specifically for Legal for Trade applications requiring the added corrosion protection of stainless steel. Applications include dry chemical operations, fertilizer plants and other industries which require non-washdown corrosion resistance.",,,Cable Length:,20 ft (6.1 m) (for connecting junction box to indicator),
,Rigid stainless steel channel frame,,"A rigid six-inch, 304 stainless steel channel frame and smooth top plate provide a durable scale deck. For added corrosion resistance, four NTEP Certified stainless steel load cells, a stainless steel TuffSeal summing junction box and EL147HE hostile environment load cell cable complete the RoughDeck SS package.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,"Four stainless steel, NTEP Certified, IP66 shear beam load cells",,"The channel frame provides added protection by enclosing the load cells, cable and junction box inside, away from chemicals and other industrial elements.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,20 ft of SURVIVOR® EL147HE hostile environment load cell cable,,"All of our floor scales, unless specified otherwise, are built with lifting holes to assist our dealers during installation, or to later service the scales. The lifting holes are not the same size on all of our scales and in the PDF on the Resources tab, you will find a chart that lists the standard size and quantity of eyebolts needed for our scales.",,,Welding:,"Stitch, consult factory if continuous is required",
,Side access junction box,,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Smooth stainless steel deck,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,Approvals:,"NTEP CC 92-001, Class III 5,000 d Measurement Canada AM-4827, Class III 5,000 d",
,,,,,,,,
RoughDeck® HE Hostile Environment Floor Scale,Rugged washdown design,https://www.ricelake.com/media/ccolawmi/_portals_0_products_f811d18de94f4b548381bea9f488a252-orig.png?mode=max&width=500&rnd=132494291200270000,Hostile Environment Floor Scale,,RoughDeck HE Stainless Steel Floor Scale Specifications,End Load Capacity:,"100% full scale at 2,000 lb and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-he-hostile-environment-floor-scale/
,304 stainless steel construction,,"The RoughDeck HE is a hostile environment, stainless steel floor scale designed specifically for corrosion resistance and long life in demanding washdown applications. Design features include a six-inch, 304 stainless steel channel frame and smooth top plate. The RoughDeck HE comes standard with four stainless steel, IP69K hermetically sealed, shear beam load cells, four stainless steel support feet, a stainless steel NEMA Type 4X TuffSeal summing junction box and EL147HE hostile environment load cell cable.",,,Cable Length:,20 ft (6.1 m),
,Rigid 304 stainless steel channel frame,,"The stainless steel channel frame provides added protection by enclosing load cell cable and load cells, yet provides easy access for installation and service. The NEMA Type 4X summing TuffSeal junction box can be remotely mounted up to ten feet from the scale, keeping sensitive electronic connections away from moisture and chemicals.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,"Four stainless steel, hermetically sealed, IP69K shear beam load cells",,"All of our floor scales, unless specified otherwise, are built with lifting holes to assist our dealers during installation, or to later service the scales. The lifting holes are not the same size on all of our scales and in the PDF on the Resources tab, you will find a chart that lists the standard size and quantity of eyebolts needed for our scales.",,,Junction Box:,"TuffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,20 ft of SURVIVOR® EL147HE hostile environment load cell cable,,,,,Welding:,"Stitch, consult factory if continuous is required",
,Load cells protected on all four sides,,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,Smooth stainless steel deck,,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Remote mounted junction box,,,,,Approvals:,"NTEP Certified, CC 92-001 Class III 5,000 d Measurement Canada AM-4827, Class III 5,000 d",
,,,,,,,,
AutoLift HE Hostile Environment Floor Scale,"Includes scale, pit frame, pit coping and pneumatic control box",https://www.ricelake.com/media/ilnb4sw1/_portals_0_products_7c5dd9628dd94028a08600d5de737eb0-orig.png?mode=max&width=500&rnd=132491550566300000,Heavy-duty Washdown Floor Scale,,AutoLift HE Low-Profile Lift Floor Scale Specifications,End Load Capacity:,"100% full scale at 2,000 lb and 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/autolift-he-hostile-environment-floor-scale/
,Rugged washdown design,https://www.ricelake.com/media/12nl1kgg/_portals_0_products_77660d2ca3354b46bc8a67d3530bb6d4-orig.png?mode=max&width=500&rnd=132491550872600000,"With its pneumatic lifting arm, the low-profile AutoLift HE floor scale improves efficiency and safety by providing hands-free access for washdown demands. The TuffSeal® JB4SS stainless steel NEMA Type 4X junction box can be remotely mounted up to ten feet from the scale, keeping sensitive electronics far from damaging chemicals and moisture.",,,Cable Length:,20 ft (6.1 m),
,304 stainless steel construction,,"All Rice Lake floor scales, unless specified otherwise, are built with lifting holes to assist our dealers during installation or at later service the scales.",,,Scale Weldment:,"AISI304L, glass bead blasted for even appearance",
,Rigid 304 stainless steel channel frame,,,,,Junction Box:T,"uffSeal® JB4SS stainless steel, NEMA Type 4X junction box with signal trim card",
,Meets HACCP requirements,,,,,Welding:,"Stitch, consult factory if continuous is required",
,"Manual, drop-in-place, safety bar",,,,,Threaded Eyebolt:,Hole (1/2-20 NF) located in center of deck for easy lifting,
,"Four stainless steel, hermetically sealed, IP69K shear beam load cells",,,,,Warranty (limited):,Weldment: Five-year Load cells: Two-year All other components: One-year,
,Load cells protected on all four sides,,,,,Approvals:,NTEP 92-001 Measurement Canada FM,
,20 ft of SURVIVOR® hostile environment load cell cable,,,,,,,
,Smooth stainless steel deck,,,,,,,
,Four adjustable stainless steel SUREFOOT™ support feet,,,,,,,
,"Requires 85 to 100 psi air pressure, opens 43 degrees",,,,,,,
,Air lines and pneumatic regulator included; conduit for load cell cable from junction box to indicator is not included,,,,,,,
RoughDeck® QC-X Quick Clean Extreme Solid Base Plate Floor Scale,"Rugged washdown design, rigid 304 stainless steel frame constructed with continuous welds",https://www.ricelake.com/media/xcfdxe0i/_portals_0_products_6a60c9f1c49e4554a02ace9825e7154e-orig.jpg?mode=max&width=500&rnd=132494931251670000,Powerful Washdown Floor Scale,,RoughDeck QC-X Specifications,End Load Capacity:,"100% full scale at 5,000 lb 80% full scale at 10,000 lb",https://www.ricelake.com/products/roughdeck-qc-x-quick-clean-extreme-solid-base-plate-floor-scale/
,Meets HACCP requirements,https://www.ricelake.com/media/vckjpqmf/_portals_0_products_08f697511de54a4fa9fb99c984ec1384-orig.jpg?mode=max&width=500&rnd=132494931555000000,"What can’t be seen can lead to devastating consequences—both for production facilities and consumers. For ultimate microbial resistance in sanitary environments, Rice Lake’s RoughDeck QC-X washdown floor scale is designed to safeguard against microscopic bacteria in food processing, pharmaceutical and chemical applications.",,,Cable Length:,20 ft (6.1 m) for connecting junction box to indicator,
